field_name	field_id
CLM_POA_IND_SW21	Claim Diagnosis Code XXI Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD22	Claim Diagnosis Code XXII
ICD_DGNS_VRSN_CD22	Claim Diagnosis Code XXII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW22	Claim Diagnosis Code XXII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD23	Claim Diagnosis Code XXIII
ICD_DGNS_VRSN_CD23	Claim Diagnosis Code XXIII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW23	Claim Diagnosis Code XXIII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD24	Claim Diagnosis Code XXIV
ICD_DGNS_VRSN_CD24	Claim Diagnosis Code XXIV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW24	Claim Diagnosis Code XXIV Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD25	Claim Diagnosis Code XXV
ICD_DGNS_VRSN_CD25	Claim Diagnosis Code XXV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW25	Claim Diagnosis Code XXV Diagnosis Present on Admission Indicator Code
FST_DGNS_E_CD	First Claim Diagnosis E Code
FST_DGNS_E_VRSN_CD	First Claim Diagnosis E Code Diagnosis Version Code (ICD-9 or ICD-10)
ICD_DGNS_E_CD1	Claim Diagnosis E Code I
ICD_DGNS_E_VRSN_CD1	Claim Diagnosis E Code I Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW1	Claim Diagnosis E Code I Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD2	Claim Diagnosis E Code II
ICD_DGNS_E_VRSN_CD2	Claim Diagnosis E Code II Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW2	Claim Diagnosis E Code II Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD3	Claim Diagnosis E Code III
ICD_DGNS_E_VRSN_CD3	Claim Diagnosis E Code III Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW3	Claim Diagnosis E Code III Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD4	Claim Diagnosis E Code IV
ICD_DGNS_E_VRSN_CD4	Claim Diagnosis E Code IV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW4	Claim Diagnosis E Code IV Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD5	Claim Diagnosis E Code V
ICD_DGNS_E_VRSN_CD5	Claim Diagnosis E Code V Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW5	Claim Diagnosis E Code V Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD6	Claim Diagnosis E Code VI
ICD_DGNS_E_VRSN_CD6	Claim Diagnosis E Code VI Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW6	Claim Diagnosis E Code VI Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD7	Claim Diagnosis E Code VII
ICD_DGNS_E_VRSN_CD7	Claim Diagnosis E Code VII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW7	Claim Diagnosis E Code VII Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD8	Claim Diagnosis E Code VIII
ICD_DGNS_E_VRSN_CD8	Claim Diagnosis E Code VIII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW8	Claim Diagnosis E Code VIII Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD9	Claim Diagnosis E Code VIX
ICD_DGNS_E_VRSN_CD9	Claim Diagnosis E Code VIX Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW9	Claim Diagnosis E Code VIX Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD10	Claim Diagnosis E Code X
ICD_DGNS_E_VRSN_CD10	Claim Diagnosis E Code X Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW10	Claim Diagnosis E Code X Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD11	Claim Diagnosis E Code XI
ICD_DGNS_E_VRSN_CD11	Claim Diagnosis E Code XI Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW11	Claim Diagnosis E Code XI Diagnosis Present on Admission Indicator Code
ICD_DGNS_E_CD12	Claim Diagnosis E Code XII
ICD_DGNS_E_VRSN_CD12	Claim Diagnosis E Code XII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_E_POA_IND_SW12	Claim Diagnosis E Code XII Diagnosis Present on Admission Indicator Code
ICD_PRCDR_CD1	Claim Procedure Code I
ICD_PRCDR_VRSN_CD1	Claim Procedure Code I Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT1	Claim Procedure Code I Date
ICD_PRCDR_CD2	Claim Procedure Code II
ICD_PRCDR_VRSN_CD2	Claim Procedure Code II Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT2	Claim Procedure Code II Date
ICD_PRCDR_CD3	Claim Procedure Code III
ICD_PRCDR_VRSN_CD3	Claim Procedure Code III Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT3	Claim Procedure Code III Date
ICD_PRCDR_CD4	Claim Procedure Code IV
ICD_PRCDR_VRSN_CD4	Claim Procedure Code IV Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT4	Claim Procedure Code IV Date
ICD_PRCDR_CD5	Claim Procedure Code V
ICD_PRCDR_VRSN_CD5	Claim Procedure Code V Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT5	Claim Procedure Code V Date
ICD_PRCDR_CD6	Claim Procedure Code VI
ICD_PRCDR_VRSN_CD6	Claim Procedure Code VI Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT6	Claim Procedure Code VI Date
ICD_PRCDR_CD7	Claim Procedure Code VII
ICD_PRCDR_VRSN_CD7	Claim Procedure Code VII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT7	Claim Procedure CodeVII Date
ICD_PRCDR_CD8	Claim Procedure Code VIII
ICD_PRCDR_VRSN_CD8	Claim Procedure Code VIII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT8	Claim Procedure Code VIII Date
ICD_PRCDR_CD9	Claim Procedure Code IX
ICD_PRCDR_VRSN_CD9	Claim Procedure Code IX Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT9	Claim Procedure Code IX Date
ICD_PRCDR_CD10	Claim Procedure Code X
ICD_PRCDR_VRSN_CD10	Claim Procedure Code X Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT10	Claim Procedure Code X Date
ICD_PRCDR_CD11	Claim Procedure Code XI
ICD_PRCDR_VRSN_CD11	Claim Procedure Code XI Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT11	Claim Procedure Code XI Date
ICD_PRCDR_CD12	Claim Procedure Code XII
ICD_PRCDR_VRSN_CD12	Claim Procedure Code XII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT12	Claim Procedure Code XII Date
ICD_PRCDR_CD13	Claim Procedure Code XIII
ICD_PRCDR_VRSN_CD13	Claim Procedure Code XIII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT13	Claim Procedure Code XIII Date
ICD_PRCDR_CD14	Claim Procedure Code XIV
ICD_PRCDR_VRSN_CD14	Claim Procedure Code XIV Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT14	Claim Procedure Code XIV Date
ICD_PRCDR_CD15	Claim Procedure Code XV
ICD_PRCDR_VRSN_CD15	Claim Procedure Code XV Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT15	Claim Procedure Code XV Date
ICD_PRCDR_CD16	Claim Procedure Code XVI
ICD_PRCDR_VRSN_CD16	Claim Procedure Code XVI Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT16	Claim Procedure Code XVI Date
ICD_PRCDR_CD17	Claim Procedure Code XVII
ICD_PRCDR_VRSN_CD17	Claim Procedure Code XVII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT17	Claim Procedure Code XVII Date
ICD_PRCDR_CD18	Claim Procedure Code XVIII
ICD_PRCDR_VRSN_CD18	Claim Procedure Code XVIII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT18	Claim Procedure Code XVIII Date
ICD_PRCDR_CD19	Claim Procedure Code XIX
ICD_PRCDR_VRSN_CD19	Claim Procedure Code XIX Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT19	Claim Procedure Code XIX Date
ICD_PRCDR_CD20	Claim Procedure Code XX
ICD_PRCDR_VRSN_CD20	Claim Procedure Code XX Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT20	Claim Procedure Code XX Date
ICD_PRCDR_CD21	Claim Procedure Code XXI
ICD_PRCDR_VRSN_CD21	Claim Procedure Code XXI Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT21	Claim Procedure Code XXI Date
ICD_PRCDR_CD22	Claim Procedure Code XXII
ICD_PRCDR_VRSN_CD22	Claim Procedure Code XXII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT22	Claim Procedure Code XXII Date
ICD_PRCDR_CD23	Claim Procedure Code XXIII
ICD_PRCDR_VRSN_CD23	Claim Procedure Code XXIII Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT23	Claim Procedure Code XXIII Date
ICD_PRCDR_CD24	Claim Procedure Code XXIV
ICD_PRCDR_VRSN_CD24	Claim Procedure Code XXIV Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT24	Claim Procedure Code XXIV Date
ICD_PRCDR_CD25	Claim Procedure Code XXV
ICD_PRCDR_VRSN_CD25	Claim Procedure Code XXV Claim Procedure Version Code (ICD-9 or ICD-10)
PRCDR_DT25	Claim Procedure Code XXV Date
DOB_DT	LDS Age Category
GNDR_CD	Gender Code from Claim
BENE_RACE_CD	Race Code from Claim
BENE_CNTY_CD	County Code from Claim (SSA)
BENE_STATE_CD	State Code from Claim (SSA)
CWF_BENE_MDCR_STUS_CD	CWF Beneficiary Medicare Status Code
